Player,Pos,Overall,Instincts,FirstStep,Speed,Hands,Release,ArmStrength,ArmAccuracy,Votes,Agreement,tangoid,Season,Team,PositionSpec,Age,GP,FGName,playerid,FGTeam
"Rodriguez, Ivan",C,69,68,68,58,60,84,80,71,49,0.69,4680,2007,DET,NA,NA,NA,Ivan Rodriguez,1275,Tigers
"Nady, Xavier",NA,50,43,40,42,55,50,68,69,3,0.76,NA,2004,SDN,NA,26,17,Xavier Nady,1658,Padres
"Encarnacion, Juan",RF,44,33,45,61,37,38,52,43,43,0.73,5904,2007,SLN,NA,NA,NA,Juan Encarnacion,320,Cardinals
"McCann, Brian",C,52,65,36,29,68,60,58,53,10,0.69,7569,2006,ATL,NA,NA,NA,Brian McCann,4810,Braves
"Wilson, Preston",RF,38,28,49,50,28,34,43,30,16,0.66,5994,2007,SLN,NA,NA,NA,Preston Wilson,545,Cardinals
"Jones, Chipper",NA,50,57,49,44,43,52,50,54,20,0.72,NA,2004,ATL,NA,32,115,Chipper Jones,97,Braves
"Mohr, Dustan",CF,38,38,39,43,31,37,41,37,20,0.8,6789,2006,BOS,NA,NA,NA,Dustan Mohr,744,Red Sox
"Hill, Aaron",2B,72,79,72,59,71,78,70,81,97,0.82,7483,2007,TOR,NA,NA,NA,Aaron Hill,6104,Blue Jays
K Millar,NA,19,18,16,16,20,20,23,20,110,0.72,NA,2005,BOS,NA,NA,NA,Kevin Millar,529,Red Sox
"Lamb, Mike",3B,24,13,20,22,26,32,33,40,14,0.75,6390,2008,MIN,28,NA,NA,Mike Lamb,1258,- - -
"Sizemore, Grady",NA,60,69,73,74,60,45,38,46,13,0.76,NA,2004,CLE,NA,22,39,Grady Sizemore,2197,Indians
"Bell, David",NA,52,61,51,32,52,60,52,55,12,0.81,NA,2004,PHI,NA,32,138,David Bell,1108,Phillies
"Blanco, Henry",NA,57,65,21,15,77,80,79,82,18,0.71,NA,2004,MIN,NA,33,97,Henry Blanco,81,Twins
"Victorino, Shane",CF,72,64,81,83,56,68,80,78,25,0.65,7104,2008,PHI,75,NA,NA,Shane Victorino,1677,Phillies
"Bruntlett, Eric",SS,58,64,60,61,56,53,54,51,10,0.78,7166,2006,HOU,NA,NA,NA,Eric Bruntlett,1753,Astros
D Roberts,NA,52,45,74,87,47,44,7,36,12,0.7,NA,2005,SDN,NA,NA,NA,Dave Roberts,670,Padres
J Uribe,NA,75,72,81,65,70,68,93,76,22,0.72,NA,2005,CHA,NA,NA,NA,Juan Uribe,454,White Sox
"Giles, Brian",LF,NA,61,58,45,64,55,30,49,7,0.65,NA,2003,NA,NA,NA,295,Brian Giles,990,- - -
"Bonds, Barry",NA,49,64,50,35,43,67,15,58,34,0.56,NA,2004,SFN,NA,40,126,Barry Bonds,1109,Giants
P Orr,NA,46,31,74,66,24,34,36,44,6,0.75,NA,2005,ATL,NA,NA,NA,Pete Orr,2748,Braves
"Vizcaino, Jose",SS,NA,30,38,39,34,43,47,49,7,0.72,NA,2003,NA,NA,NA,60,Jose Vizcaino,577,Astros
"Rodriguez, Alex",3B,53,56,54,64,43,36,81,33,60,0.62,5275,2006,NYA,NA,NA,NA,Alex Rodriguez,1274,Yankees
"Martin, Russell",C,67,72,67,48,70,73,72,67,12,0.69,7628,2006,LAN,NA,NA,NA,Russell Martin,4616,Dodgers
"Thome, Jim",NA,35,41,32,21,42,35,39,31,11,0.67,NA,2004,PHI,NA,34,131,Jim Thome,409,Phillies
"Castilla, Vinny",3B,NA,70,49,30,81,75,63,83,20,0.66,NA,2003,NA,NA,NA,272,Vinny Castilla,84,Braves
"Conine, Jeff",1B,31,37,19,24,30,39,34,47,17,0.73,4600,2006,BAL,NA,NA,NA,Jeff Conine,131,- - -
C Widger,NA,40,39,40,36,46,45,35,39,14,0.74,NA,2005,CHA,NA,NA,NA,Chris Widger,1541,White Sox
O Saenz,NA,21,22,14,15,22,24,28,32,19,0.65,NA,2005,LAN,NA,NA,NA,Olmedo Saenz,937,Dodgers
J Werth,NA,52,44,52,64,54,44,56,49,25,0.7,NA,2005,LAN,NA,NA,NA,Jayson Werth,1327,Dodgers
"Chavez, Raul",NA,44,34,43,28,53,53,58,51,15,0.66,NA,2004,HOU,NA,31,47,Raul Chavez,553,Astros
"Tejada, Miguel",SS,60,62,50,50,58,63,86,70,26,0.63,5888,2006,BAL,NA,NA,NA,Miguel Tejada,941,Orioles
"Loretta, Mark",SS,36,37,26,30,41,44,37,46,17,0.65,5504,2007,HOU,NA,NA,NA,Mark Loretta,1383,Astros
"Hardy, J.J.",SS,75,83,71,56,83,86,60,87,18,0.82,7283,2006,MIL,NA,NA,NA,J.J. Hardy,3797,Brewers
"Morneau, Justin",1B,44,53,38,32,50,46,44,49,40,0.67,7063,2006,MIN,NA,NA,NA,Justin Morneau,1737,Twins
"Scutaro, Marco",2B,50,53,52,55,45,51,40,51,42,0.66,6966,2006,OAK,NA,NA,NA,Marco Scutaro,1555,Athletics
"Upton, Melvin",NA,55,67,75,79,21,22,86,25,9,0.67,NA,2004,TBA,NA,20,28,Melvin Upton,5015,Devil Rays
"Phillips, Andy",1B,51,51,49,44,59,51,51,48,24,0.74,7404,2006,NYA,NA,NA,NA,Andy Phillips,2075,Yankees
"Molina, Jose",NA,55,53,44,35,62,65,68,71,13,0.61,NA,2004,ANA,NA,29,59,Jose Molina,25,Angels
"Gomes, Jonny",RF,20,6,25,38,10,18,30,21,40,0.6,7245,2008,TBA,24,NA,NA,Jonny Gomes,1845,Rays
"Spilborghs, Ryan",CF,58,54,61,64,60,54,57,57,7,0.82,7598,2007,COL,NA,NA,NA,Ryan Spilborghs,4521,Rockies
"Cruz, Jose",LF,56,65,54,64,52,54,49,43,6,0.77,5786,2007,SDN,NA,NA,NA,Jose Cruz,1296,Padres
"McEwing, Joe",NA,39,38,42,44,35,41,32,36,10,0.72,NA,2004,NYN,NA,32,38,Joe McEwing,887,Mets
"Rodriguez, Ivan",C,70,68,64,57,63,86,84,84,57,0.67,4680,2008,DET,76,NA,NA,Ivan Rodriguez,1275,- - -
"Nieves, Wil",C,39,37,40,36,43,40,39,34,11,0.61,6968,2007,NYA,NA,NA,NA,Wil Nieves,1556,Yankees
"McCann, Brian",C,40,50,29,22,47,41,56,45,26,0.67,7569,2007,ATL,NA,NA,NA,Brian McCann,4810,Braves
"Ortmeier, Dan",RF,61,54,65,70,57,54,68,64,10,0.77,7654,2007,SFN,NA,NA,NA,Dan Ortmeier,4694,Giants
"Flaherty, John",NA,37,43,22,19,51,47,38,41,16,0.62,NA,2004,NYA,NA,37,36,John Flaherty,1206,Yankees
"Cirillo, Jeff",3B,NA,84,72,52,74,79,66,67,13,0.8,NA,2003,NA,NA,NA,169,Jeff Cirillo,1073,Mariners
"Frandsen, Kevin",2B,49,49,58,58,38,41,45,56,13,0.68,7749,2006,SFN,NA,NA,NA,Kevin Frandsen,7528,Giants
"Long, Terrence",NA,24,0,36,39,24,32,25,10,2,0.2,NA,2004,SDN,NA,28,62,Terrence Long,927,Padres
"Bigbie, Larry",NA,60,60,64,73,64,49,53,54,32,0.79,NA,2004,BAL,NA,27,129,Larry Bigbie,128,Orioles
"Zaun, Gregg",C,39,44,32,32,49,41,37,39,42,0.72,5427,2006,TOR,NA,NA,NA,Gregg Zaun,580,Blue Jays
M Cabrera,NA,51,47,26,28,60,66,86,76,6,0.75,NA,2005,FLO,NA,NA,NA,Miguel Cabrera,1744,Marlins
"Holm, Steve",C,40,45,34,37,40,39,45,39,23,0.65,8208,2008,SFN,41,NA,NA,Steve Holm,3472,Giants
"DeRosa, Mark",2B,58,59,55,53,64,64,50,66,27,0.82,6094,2007,CHN,NA,NA,NA,Mark DeRosa,1392,Cubs
"Burriss, Emmanuel",SS,65,61,74,84,53,58,59,61,42,0.75,8225,2008,SFN,64,NA,NA,Emmanuel Burriss,2917,Giants
"Furcal, Rafael",SS,68,77,76,79,42,58,87,55,14,0.6,6404,2006,LAN,NA,NA,NA,Rafael Furcal,88,Dodgers
"Bruntlett, Eric",SS,62,61,60,63,61,59,62,71,17,0.77,7166,2007,HOU,NA,NA,NA,Eric Bruntlett,1753,Astros
"Murphy, David",RF,62,55,65,61,59,65,59,74,13,0.82,7862,2008,TEX,62,NA,NA,David Murphy,6035,Rangers
"McLouth, Nate",CF,57,51,71,72,48,52,43,46,16,0.75,7513,2006,PIT,NA,NA,NA,Nate McLouth,3190,Pirates
"Wilson, Craig",NA,26,27,18,26,37,13,42,25,7,0.76,NA,2004,PIT,NA,28,142,Craig Wilson,1015,Pirates
E Garabito,NA,41,71,22,72,36,41,0,39,1,NA,NA,2005,COL,NA,NA,NA,Eddy Garabito,7022,Rockies
"Zeile, Todd",NA,41,46,38,35,46,41,32,51,8,0.75,NA,2004,NYN,NA,39,81,Todd Zeile,457,Mets
"Burrell, Pat",LF,NA,35,28,27,37,55,83,79,12,0.67,NA,2003,NA,NA,NA,285,Pat Burrell,949,Phillies
"DeRosa, Mark",RF,53,50,53,50,59,55,50,53,15,0.76,6094,2006,TEX,NA,NA,NA,Mark DeRosa,1392,Rangers
"Cairo, Miguel",2B,51,53,53,48,53,60,33,56,24,0.68,5586,2006,NYA,NA,NA,NA,Miguel Cairo,1412,Yankees
"Ludwick, Ryan",LF,54,56,57,54,51,49,54,50,33,0.76,6862,2007,SLN,NA,NA,NA,Ryan Ludwick,1260,Cardinals
"Escobar, Alex",CF,52,43,58,69,42,48,58,47,9,0.7,6628,2006,WAS,NA,NA,NA,Alex Escobar,383,Nationals
"Durham, Ray",2B,NA,47,65,75,34,47,41,59,14,0.83,NA,2003,NA,NA,NA,211,Ray Durham,230,Giants
"Hardy, J.J.",SS,63,61,52,46,72,80,71,77,20,0.69,7283,2007,MIL,NA,NA,NA,J.J. Hardy,3797,Brewers
"Matsui, Kaz",2B,59,61,67,68,46,57,52,52,18,0.8,7250,2008,HOU,58,NA,NA,Kaz Matsui,1854,Astros
"Morneau, Justin",1B,48,57,36,33,57,47,55,55,20,0.78,7063,2007,MIN,NA,NA,NA,Justin Morneau,1737,Twins
"Scutaro, Marco",3B,49,47,54,53,49,52,33,47,32,0.71,6966,2007,OAK,NA,NA,NA,Marco Scutaro,1555,Athletics
"Reynolds, Mark",3B,41,40,50,49,27,30,63,17,38,0.65,8030,2008,ARI,42,NA,NA,Mark Reynolds,7619,Diamondbacks
"Kinsler, Ian",2B,60,62,73,64,48,54,60,46,13,0.83,7490,2006,TEX,NA,NA,NA,Ian Kinsler,6195,Rangers
"Finley, Steve",NA,68,75,69,66,73,68,52,61,22,0.66,NA,2004,ARI,NA,39,100,Steve Finley,54,- - -
"Izturis, Cesar",SS,NA,79,85,77,90,87,75,82,9,0.79,NA,2003,NA,NA,NA,254,Cesar Izturis,656,Dodgers
"Spilborghs, Ryan",LF,57,52,64,62,62,45,56,51,9,0.78,7598,2008,COL,59,NA,NA,Ryan Spilborghs,4521,Rockies
"Bloomquist, Willie",CF,49,46,61,69,44,41,29,40,101,0.72,6636,2008,SEA,54,NA,NA,Willie Bloomquist,1066,Mariners
"Romero, Alex",RF,59,59,66,64,60,50,48,54,27,0.74,8205,2008,ARI,61,NA,NA,Alex Romero,3129,Diamondbacks
"Ruiz, Carlos",C,53,47,41,50,69,48,64,58,7,0.63,7757,2006,PHI,NA,NA,NA,Carlos Ruiz,2579,Phillies
"Gonzalez, Alex",NA,79,77,90,65,76,85,71,86,7,0.66,NA,2004,FLO,NA,27,150,Alex Gonzalez,520,Marlins
"Mohr, Dustan",NA,58,56,67,63,48,54,61,57,23,0.79,NA,2004,SFN,NA,28,70,Dustan Mohr,744,Giants
"Marrero, Eli",RF,NA,25,56,80,44,38,61,61,6,0.76,NA,2003,NA,NA,NA,48,Eli Marrero,1166,Cardinals
"Ordonez, Magglio",NA,60,69,56,57,61,60,53,56,15,0.85,NA,2004,CHA,NA,30,40,Magglio Ordonez,248,White Sox
"Molina, Bengie",C,51,70,19,9,66,76,66,75,45,0.7,6026,2008,SFN,65,NA,NA,Bengie Molina,24,Giants
M Bradley,NA,68,57,72,77,70,61,69,71,34,0.71,NA,2005,LAN,NA,NA,NA,Milton Bradley,369,Dodgers
