"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2007","Albert Pujols","Cardinals","158","679","32","99","103","2","14.6 %","8.5 %",".241",".317",".327",".429",".568",".419","155","-4.9","43.2","13.1","7.7","1177"
"2007","Chase Utley","Phillies","132","613","22","104","103","9","8.2 %","14.5 %",".234",".362",".332",".410",".566",".419","150","4.6","44.0","14.4","7.7","1679"
"2000","Andruw Jones","Braves","161","729","36","122","104","21","8.1 %","13.7 %",".238",".310",".303",".366",".541",".387","127","1.5","28.7","27.5","7.7","96"
"2000","Barry Bonds","Giants","143","607","49","129","106","11","19.3 %","12.7 %",".381",".271",".306",".440",".688",".456","174","0.9","62.3","-0.9","7.6","1109"
"2009","Joe Mauer","Twins","138","606","28","94","96","4","12.5 %","10.4 %",".222",".373",".365",".444",".587",".438","170","-2.1","50.8","4.6","7.6","1857"
"2001","Larry Walker","Rockies","142","601","38","107","123","14","13.6 %","17.1 %",".312",".374",".350",".449",".662",".461","163","0.6","49.8","7.8","7.6","455"
"2000","Nomar Garciaparra","Red Sox","140","599","21","104","96","5","10.2 %","8.3 %",".227",".378",".372",".434",".599",".432","154","0.2","44.4","15.0","7.6","190"
"2008","Hanley Ramirez","Marlins","153","693","33","125","67","35","13.3 %","17.6 %",".239",".329",".301",".400",".540",".403","144","6.3","44.8","7.6","7.5","8001"
"2008","Grady Sizemore","Indians","157","745","33","101","90","38","13.2 %","17.4 %",".233",".290",".268",".374",".502",".376","131","10.1","38.5","10.1","7.4","2197"
"2000","Jeff Kent","Giants","159","695","33","114","125","12","12.9 %","15.4 %",".262",".357",".334",".424",".596",".431","159","-1.6","53.7","2.4","7.4","1119"
"2003","Bret Boone","Mariners","159","705","35","111","117","16","9.6 %","17.7 %",".241",".316",".294",".366",".535",".384","140","3.1","38.2","12.3","7.4","1067"
"2000","Carlos Delgado","Blue Jays","162","711","41","115","137","0","17.3 %","14.6 %",".320",".362",".344",".470",".664",".471","179","-0.4","75.9","-21.3","7.4","1297"
"2003","Gary Sheffield","Braves","155","678","39","126","132","18","12.7 %","8.1 %",".274",".308",".330",".419",".604",".431","163","2.6","57.0","-4.8","7.3","114"
"2002","Jim Thome","Indians","147","613","52","101","118","1","19.9 %","22.7 %",".373",".319",".304",".445",".677",".461","189","1.4","68.4","-16.3","7.3","409"
